"PRODUCTO"|"ID_CLIENTE"|"CONTRATO"|"PLAZO"|"Periodicidad"|"Comisiones"|"RENTA"|"RENTAS"|"Valor Residual"|"MONTO_INICIAL_ACTIVO_S_IVA"|"TABLA AMOTIZACIÓN"|"FECHA INICIO"|"FECHA_DE_TERMINACION"|"Reestructurado"|"Tipo de Reestrucutra"|"Region"|"Moneda"
"1"|"Arrendamiento"|104|4321|31|"Mensual"|10501.2264270584|7461.83542381867|9992864.88|85634.4827586207|12354644.6637817|"Tabla Amort"|2015-01-01 00:00:00|2018-01-01|"No"|NA|"CDMX"|"MXN"
"2"|"Arrendamiento"|104|4322|41|"Mensual"|17028.6840413902|6790.54999974044|12636154.08|81875|14748034.2522502|"Tabla Amort"|2015-01-01 00:00:00|2018-01-01|"No"|NA|"CDMX"|"MXN"
"3"|"Arrendamiento"|104|4323|33|"Mensual"|12479.8566578371|10489.4886233525|10786315.32|86831.8965517241|12797409.8065786|"Tabla Amort"|2015-01-01 00:00:00|2018-01-01|"No"|NA|"CDMX"|"MXN"
"4"|"Arrendamiento"|104|4324|32|"Mensual"|6600.21984766892|6296.24540149118|6316047.36|52434.2672413793|7215508.43753713|"Tabla Amort"|2015-01-01 00:00:00|2018-01-01|"No"|NA|"CDMX"|"MXN"
"5"|"Arrendamiento"|104|4333|29|"Mensual"|9004.49512873704|5915.50118606454|5723917.92|52434.2672413793|5987672.82981289|"Tabla Amort"|2015-01-01 00:00:00|2018-01-01|"No"|NA|"CDMX"|"MXN"
"6"|"Arrendamiento"|104|4358|35|"Mensual"|8407.51120104745|9631.94480225026|13435695|101979.310344828|15377351.2211864|"Tabla Amort"|2015-01-01 00:00:00|2018-01-01|"No"|NA|"CDMX"|"MXN"
"7"|"Arrendamiento"|114|4307|43|"Mensual"|2355.24643201291|4818.01741039302|6303069|22927.5|6486730.41375903|"Tabla Amort"|2015-01-01 00:00:00|2018-01-01|"No"|NA|"CDMX"|"MXN"
"8"|"Arrendamiento"|114|4338|49|"Mensual"|8210.48060468768|7637.82551911501|17958578.4|38046.6724137931|22704132.5165432|"Tabla Amort"|2015-01-01 00:00:00|2019-01-01|"No"|NA|"CDMX"|"MXN"
"9"|"Arrendamiento"|112|4342|32|"Mensual"|8217.49244450953|14032.3590657896|15267121.92|88362.0689655172|16269785.0761755|"Tabla Amort"|2015-01-01 00:00:00|2018-01-01|"No"|NA|"CDMX"|"MXN"
"10"|"Arrendamiento"|112|4349|42|"Mensual"|13410.6875138489|14868.482248015|20038097.52|88362.0689655172|20991776.3520812|"Tabla Amort"|2015-01-01 00:00:00|2018-01-01|"No"|NA|"CDMX"|"MXN"
